ID,标题,原始链接,量科链接,来源域名,原始日期,量科日期
262,从可证明到实用：面向问题的DV/CV量子密钥分发经典与机器学习防御综述,https://arxiv.org/abs/2605.27497,http://www.qtc.com.cn/reference/178002530033392.html,arxiv.org,2026-06-01,2026-06-01
261,量子机器学习真的有必要吗？：一项多维实证研究,https://arxiv.org/abs/2605.27923,http://www.qtc.com.cn/reference/178003030033417.html,arxiv.org,2026-06-01,2026-06-01
260,金刚石色心缺陷量子网络：原理、进展与展望,https://arxiv.org/abs/2605.30005,http://www.qtc.com.cn/reference/178027696033525.html,arxiv.org,2026-06-01,2026-06-01
259,地球同步轨道量子密钥分发在有限密钥长度下的可行性,https://arxiv.org/abs/2605.29706,http://www.qtc.com.cn/reference/178028116033546.html,arxiv.org,2026-06-01,2026-06-01
258,水下量子密钥分发协议性能分析：BB84、SARG04 与 BBM92,https://arxiv.org/abs/2605.29513,http://www.qtc.com.cn/reference/178028316033556.html,arxiv.org,2026-06-01,2026-06-01
257,IBM投资10亿美元+10亿CHIPS补贴，成立专注于量子晶圆制造的Anderon公司,http://quantumwire.com/article/17794124096453.html,http://www.qtc.com.cn/article/177960516232888.html,quantumwire.com,2026-06-01,2026-06-01
256,导航、医疗与科学的变革者：量子传感器如何感知最微弱的运动与磁场,http://quantumwire.com/article/17796145326482.html,http://www.qtc.com.cn/article/177969036733000.html,quantumwire.com,2026-06-01,2026-06-01
255,SEALSQ的后量子安全芯片QS7001获NIST熵源验证证书,https://www.globenewswire.com/news-release/2026/05/28/3302842/0/en/sealsq-s-qs7001-post-quantum-secure-element-achieves-nist-sp-800-90b-entropy-source-validation-key-milestone-toward-fips-140-3-and-common-criteria-eal5-certification.html,http://www.qtc.com.cn/flash/178027390033495.html,www.globenewswire.com,2026-05-28,2026-06-01
254,BMRT实现不靠雷达红外等传统方法的探测技术，能精准锁定携带炸药材料的无人机,https://www.prnewswire.com/news-releases/base-molecular-resonance-technologies-announces-detection-breakthrough-involving-drone-carried-explosive-material-302784416.html,http://www.qtc.com.cn/flash/178027490033496.html,www.prnewswire.com,2026-05-28,2026-06-01
253,Q-CTRL新白皮书预计：2027至2029年量子计算或将赋能国防后勤领域,https://www.hpcwire.com/off-the-wire/q-ctrl-white-paper-sees-quantum-advantage-for-defense-logistics-emerging-by-2027/,http://www.qtc.com.cn/flash/178027690033497.html,www.hpcwire.com,2026-06-01,2026-06-01
252,850万欧元打造！EuroQCS-Spain量子计算机落地巴塞罗那超算中心,https://www.eurohpc-ju.europa.eu/eurohpc-ju-inaugurates-euroqcs-spain-barcelona-2026-05-28_en,http://www.qtc.com.cn/flash/178027790033498.html,www.eurohpc-ju.europa.eu,2026-05-28,2026-06-01
251,鸽子如何导航研究获进展，肝脏内的巨噬细胞竟是“磁场感应器”,https://www.ab.mpg.de/944599/news_publication_26511515_transferred,http://www.qtc.com.cn/flash/178027890033499.html,www.ab.mpg.de,2026-06-01,2026-06-01
250,电控微型非线性光源问世，有望革新量子通信、传感与计算技术,https://news.emory.edu/features/2026/05/esc_new_control_nanoscale_light_28-05-2026/index.html,http://www.qtc.com.cn/flash/178027990033500.html,news.emory.edu,2026-06-01,2026-06-01
249,物理学家借助量子纠缠提出用于理解化学键的新框架,https://www.lmu.de/en/newsroom/news-overview/news/quantum-physics-a-matter-of-bonding-358e7fe1.html,http://www.qtc.com.cn/flash/178028090033501.html,www.lmu.de,2026-06-01,2026-06-01
